,ward_clus,업체명,경도,위도,주차장명,주차경도,주차위도,group,sum_2_y
16,5,(주)세지,37.5174334,126.88625829999998,일원터널,127.078902,37.482745,17.0,3.3456668066053585
17,5,(주)세지,37.5174334,126.88625829999998,탄천제2호,127.0877676116,37.4931474673,18.0,3.01713870543904
18,5,(주)세지,37.5174334,126.88625829999998,일원1동,127.0817931211,37.4895657461,19.0,3.01713870543904
19,5,(주)세지,37.5174334,126.88625829999998,수서역,127.09993500000002,37.487944,20.0,2.776702941991417
20,6,기린에너지,37.5362563,126.8967643,언북초교,127.0447140682,37.520126074000004,21.0,3.9159946365746627
21,6,기린에너지,37.5362563,126.8967643,개포동공원,127.068292231,37.4897076707,22.0,3.07209575578134
22,6,기린에너지,37.5362563,126.8967643,강일동공영주차장,127.172156,37.566151,23.0,1.7937145243365147
23,6,기린에너지,37.5362563,126.8967643,온조대왕옆공영주차장,127.15693564969999,37.555670210900004,24.0,1.2799704335077722
24,7,은평서부충전소,37.6436336,126.9190242,천호1동공영주차장,127.136317,37.54480220000001,25.0,1.703351975549078
25,7,은평서부충전소,37.6436336,126.9190242,고분다리전통시장공영주차장,127.132024,37.542834,26.0,1.703351975549078
26,7,은평서부충전소,37.6436336,126.9190242,암사1동공영주차장,127.137985,37.55275200000001,27.0,1.9852128761416503
27,7,은평서부충전소,37.6436336,126.9190242,번2동주차장,127.036718,37.626781,28.0,0.4914459954163249
28,8,장안동가스충전소,37.5628972,127.0564677,시범주차장,127.025942,37.640013,29.0,0.7023636204038451
29,8,장안동가스충전소,37.5628972,127.0564677,대지시장길주차장,127.020227,37.620104,30.0,0.7210667962835655
30,8,장안동가스충전소,37.5628972,127.0564677,구세군길주차장,127.013517,37.625959,31.0,0.7210667962835655
31,8,장안동가스충전소,37.5628972,127.0564677,송중동주차장,127.033569,37.61160200000001,32.0,0.8081095615020244
32,9,덕마가스충전소,37.5487108,127.04272749999998,어울림소공원주차장,127.036247,37.61858400000001,33.0,0.8081095615020244
33,9,덕마가스충전소,37.5487108,127.04272749999998,오패산주차장,127.031151,37.622054,34.0,0.8081095615020244
34,9,덕마가스충전소,37.5487108,127.04272749999998,송천동주차장,127.025126,37.614536,35.0,0.8385523995761026
35,9,덕마가스충전소,37.5487108,127.04272749999998,우이동주차장,127.011607,37.656681,36.0,0.5807817622149399
36,10,(주)대흥가스,37.53107650000001,126.82973909999998,교통광장주차장,127.007884,37.661971,37.0,0.5807817622149399
37,10,(주)대흥가스,37.53107650000001,126.82973909999998,인수동주차장,127.019186,37.635193,38.0,0.8064488823411368
38,10,(주)대흥가스,37.53107650000001,126.82973909999998,가오리주차장,127.014951,37.641526,39.0,0.8064488823411368
39,10,(주)대흥가스,37.53107650000001,126.82973909999998,화곡본-2,126.8485531,37.5441208,40.0,2.1983219666612155
40,11,우일에너지(주),37.6079111,127.0280595,화곡5-3,126.83354409999998,37.5433295,41.0,1.8249697043387187
41,11,우일에너지(주),37.6079111,127.0280595,화곡6-1,126.84626609999998,37.5529786,42.0,1.92345296282718
42,11,우일에너지(주),37.6079111,127.0280595,영보빌딩,126.853045,37.563296,43.0,1.6088466289298902
43,11,우일에너지(주),37.6079111,127.0280595,방화우체국,126.814605,37.579612,44.0,1.8324797774436516
44,12,홍익에너지(주),37.5081049,127.1014515,화곡5-2,126.8385479,37.5441769,45.0,2.571027031839221
45,12,홍익에너지(주),37.5081049,127.1014515,행운동제1공영주차장,126.960471,37.4797436,46.0,1.854607492382209
46,12,홍익에너지(주),37.5081049,127.1014515,구로디지털단지역(상),126.903739,37.484644,47.0,1.5990256271047198
47,12,홍익에너지(주),37.5081049,127.1014515,미성동제4공영주차장,126.91992150000002,37.4762929,48.0,1.8770150449382328
48,13,수도석유(주)방배충전소,37.4868961,126.973018,민방위교육장공영주차장,126.9112682,37.4693484,49.0,1.8770150449382328
49,13,수도석유(주)방배충전소,37.4868961,126.973018,화양동 공영,127.07118091219999,37.5452978672,50.0,1.242979302278853
50,13,수도석유(주)방배충전소,37.4868961,126.973018,구로리공원 지하,126.891578,37.490848,51.0,1.7346541884507871
51,13,수도석유(주)방배충전소,37.4868961,126.973018,신도림역 환승,126.89216299999998,37.507776,52.0,2.0854813833023833
52,14,목동충전소,37.5256,126.8618748,구로아트밸리 지하,126.889559,37.497057,53.0,2.0854813833023833
53,14,목동충전소,37.5256,126.8618748,고척1동 마을공동,126.863882,37.502261,54.0,1.64302538876425
54,14,목동충전소,37.5256,126.8618748,오류1동 텃골,126.839295,37.495385,55.0,1.4822093074413556
55,14,목동충전소,37.5256,126.8618748,천왕역,126.83889,37.4866,56.0,2.066541098926864
