,node1,node2,node3,node4,origin,2022,2024,2026,2028,lpg_id,node1_id,node2_id,node3_id,node4_id,origin_coor,node1_coor,node2_coor,node3_coor,node4_coor
101,마천동2,마천동3,천마,방이고분 주차장,(주)경기에너지,0,0,0,1,75,221,222,223,224,"[37.5364849, 127.1268028]","[127.15648700000001, 37.494314]","[127.14984199999999, 37.496088]","[127.154843, 37.50019]","[127.118439, 37.507409]"
102,방이동,송파동,송파근린공원주차장,삼전동,개봉충전소,0,0,0,1,52,225,226,227,229,"[37.49642120000001, 126.8583566]","[127.11391299999998, 37.51372]","[127.113321, 37.507013]","[127.10943799999998, 37.506456]","[127.09595700000001, 37.500199]"
103,가락동1(체비지),가락동2(체비지),문정근린공원,신천유수지,둔촌충전소,0,0,0,1,76,230,231,232,234,"[37.5252332, 127.1444095]","[127.118803, 37.49442]","[127.119759, 37.494681]","[127.124748, 37.485972]","[127.102903, 37.522409]"
104,잠실역,송파나루공원 동호주차장,잠실역환승,더다이닝호수,(주)노일가스,0,0,0,1,23,235,236,238,239,"[37.671411799999994, 127.05336090000002]","[127.103524, 37.513118]","[127.106549, 37.513205]","[127.10596299999999, 37.514926]","[127.10108799999999, 37.510556]"
105,서울놀이마당,목동,바람개비,한마음,(주)청학에너지,0,0,0,1,16,240,241,242,243,"[37.628133, 127.04186509999998]","[127.09772099999999, 37.508941]","[126.8765231493, 37.5281321595]","[126.874151, 37.530285]","[126.878046, 37.530767]"
106,목2동 월촌,달마을,한두,목3동 해운,진양가스,0,0,0,1,65,244,245,246,247,"[37.4905825, 127.0346343]","[126.874808, 37.546036]","[126.871574, 37.544424]","[126.86609399999999, 37.548771]","[126.86511100000001, 37.5419998]"
107,당곡,서서울,능골,신우,(주)홍릉가스충전소,0,0,0,1,6,251,252,253,254,"[37.591046, 127.03904229999999]","[126.845025, 37.524465]","[126.83241100000001, 37.528565]","[126.82455900000001, 37.533173]","[126.828575, 37.534569]"
108,법마을,문화회관 지하,어울림,우리,(주)에스케이행복에너지,0,0,0,1,19,260,263,264,269,"[37.665771299999996, 127.04138030000001]","[126.860547, 37.521636]","[126.86334609999999, 37.5164386]","[126.869307, 37.522152]","[126.879154, 37.53667100000001]"
109,도서관,양천사회단체봉사센터,목동체비지,양평2동청사 공영주차장,복지마곡충전소,0,0,0,1,39,271,272,274,275,"[37.565115899999995, 126.80653889999999]","[126.87662399999999, 37.533463]","[126.875401, 37.53182329999999]","[126.88063500000001, 37.53700900000001]","[126.885352, 37.536396]"
110,당산노외,당산1동 공영주차장,당산근린공원공영주차장,별관청사공영주차장,오승프라임산업(주),0,0,0,1,50,277,279,281,282,"[37.5069035, 126.82690600000001]","[126.899395, 37.526223]","[126.899427, 37.523768]","[126.89513500000001, 37.525177]","[126.894421, 37.528402]"
111,신길역사(1호선)공영주차장,신길1동공영주차장,경부제3녹지 공영주차장,도림초교공영주차장,수도에너지(주)동서울충전소,0,0,0,1,5,284,285,286,287,"[37.5896355, 127.0572487]","[126.91747, 37.515746]","[126.918608, 37.510226]","[126.923185, 37.513329]","[126.90703300000001, 37.50796]"
112,신길4동공영주차장,신길4동1동1마을공원공영주차장,신길5동공영주차장,신길6동공영주차장,(주)영동가스,0,0,0,1,61,288,289,290,291,"[37.5188926, 127.00966609999999]","[126.91201299999999, 37.505356]","[126.91172900000001, 37.50708]","[126.90481799999999, 37.502098]","[126.91133700000002, 37.50262100000001]"
113,신길7동공영주차장,대림어린이공원공영주차장,대림2동공영주차장,대림3동공영주차장,남서울가스(주),0,0,0,1,67,292,293,294,295,"[37.4977796, 127.0733765]","[126.92223500000001, 37.508238]","[126.90333899999999, 37.491121]","[126.89993100000001, 37.491568]","[126.900465, 37.497991]"
114,대림운동장공영주차장,영등포본동제1 공영주차장,영등포본동제2공영주차장,영등포여고공영주차장,명화가스(주),0,0,0,1,59,296,297,298,299,"[37.47367620000001, 126.95127649999999]","[126.89481, 37.499611]","[126.909151, 37.514358]","[126.914068, 37.51328400000001]","[126.915272, 37.515377]"
115,영등포동제2 공영주차장,신길환승(5호선)공영주차장,도림동 공영주차장,해방촌노외,대양가스충전소,0,0,0,1,41,300,301,302,305,"[37.5583883, 126.8585873]","[126.908556, 37.523736]","[126.91466299999999, 37.517666]","[126.896694, 37.508188]","[126.98438300000001, 37.544221]"
116,청구 공영주차장,용산주차빌딩,갈현1동 공영주차장,구산동마을공원지하공영주차장,암사충전소,0,0,0,1,74,306,307,309,310,"[37.55177910000001, 127.1255452]","[126.97591211, 37.55827811]","[127.002074, 37.539028]","[126.91533700000001, 37.626498]","[126.908474, 37.614751]"
117,서신초교지하공영주차장,새장골 공영주차장,연광초교지하공영주차장,응암3동 공영주차장,(주)중앙에너비스 삼중가스지점,0,0,0,1,53,311,313,314,316,"[37.4617966, 126.8961355]","[126.90683899999999, 37.59231079999999]","[126.923549, 37.624469]","[126.924438, 37.623995]","[126.91528899999999, 37.593506]"
118,매바위공영주차장,세종로,비봉,서린노외,(주)평안에너지 도봉충전소,0,0,0,1,21,317,318,319,320,"[37.6669495, 127.00371969999999]","[126.920786, 37.586576]","[126.975866, 37.573397]","[126.9565401309, 37.612215534899995]","[126.98148300000001, 37.569835]"
