자치구,동_x,㎡당 매매평균가,㎡당 전세평균가,two,one,동_y,면적
노원구,중계4동,530,326,중계,중,중계4동,0.9
노원구,중계본동,530,326,중계,중,중계본동,1.97
노원구,하계1동,536,329,하계,하,하계1동,1.55
노원구,하계2동,536,329,하계,하,하계2동,0.51
금천구,가산동,456,296,가산,가,가산동,2.52
금천구,독산1동,521,335,독산,독,독산1동,2.09
금천구,독산2동,521,335,독산,독,독산2동,0.6
금천구,독산3동,521,335,독산,독,독산3동,0.92
금천구,독산4동,521,335,독산,독,독산4동,0.59
금천구,시흥1동,419,270,시흥,시,시흥1동,1.71
금천구,시흥2동,419,270,시흥,시,시흥2동,1.26
금천구,시흥3동,419,270,시흥,시,시흥3동,1.07
금천구,시흥4동,419,270,시흥,시,시흥4동,0.87
금천구,시흥5동,419,270,시흥,시,시흥5동,1.39
구로구,가리봉동,315,250,가리,가,가리봉동,0.4
구로구,개봉1동,455,310,개봉,개,개봉1동,1.31
구로구,개봉2동,455,310,개봉,개,개봉2동,0.8
구로구,개봉3동,455,310,개봉,개,개봉3동,0.81
구로구,고척1동,459,306,고척,고,고척1동,1.16
구로구,고척2동,459,306,고척,고,고척2동,1.02
구로구,구로1동,527,331,구로,구,구로1동,1.02
구로구,구로2동,527,331,구로,구,구로2동,1.76
구로구,구로3동,527,331,구로,구,구로3동,1.02
구로구,구로4동,527,331,구로,구,구로4동,0.46
구로구,구로5동,527,331,구로,구,구로5동,1.03
구로구,수궁동,436,329.5,온수,온,,
구로구,신도림동,701,435,신도,신,신도림동,1.47
구로구,오류1동,430,313,오류,오,오류1동,0.59
구로구,오류2동,449,327,오류,오,오류2동,4.6
광진구,능동,789,471,광장,광,광장동,2.39
광진구,광장동,897,501,광장,광,광장동,2.39
광진구,구의1동,789,471,구의,구,구의1동,0.56
광진구,구의2동,789,471,구의,구,구의2동,1.39
광진구,구의3동,789,471,구의,구,구의3동,1.02
광진구,군자동,499,332,군자,군,군자동,0.74
광진구,자양1동,773,466,자양,자,자양1동,0.57
광진구,자양2동,773,466,자양,자,자양2동,1.68
