기간	자치구	동	종류별 주택수	종류별 주택수	종류별 주택수	종류별 주택수	종류별 주택수	종류별 주택수	종류별 주택수	종류별 주택수	종류별 주택수
기간	자치구	동	합계	주택	주택	주택	주택	아파트	연립주택	다세대주택	비거주용건물내주택
기간	자치구	동	합계	계	단독주택	다가구주택	영업겸용	아파트	연립주택	다세대주택	비거주용건물내주택
2015	도봉구	도봉1동	6,397	1,250	309	752	189	1,107	519	3,390	131
2015	도봉구	도봉2동	9,468	531	144	316	71	8,550	57	291	39
2015	노원구	소계	186,626	8,143	3,226	3,824	1,093	160,725	3,536	13,471	751
2015	노원구	월계1동	6,840	655	189	383	83	3,998	182	1,939	66
2015	노원구	월계2동	10,604	342	78	215	49	9,681	189	369	23
2015	노원구	월계3동	12,679	50	15	30	5	12,615	X	7	7
2015	노원구	공릉2동	13,132	557	84	390	83	11,066	448	996	65
2015	노원구	하계1동	10,196	178	65	69	44	9,040	447	497	34
2015	노원구	하계2동	8,164	X	X	X	X	8,160	X	X	X
2015	노원구	중계본동	8,139	842	775	38	29	6,158	192	910	37
2015	노원구	중계1동	8,741	X	X	X	X	8,733	X	X	5
2015	노원구	중계4동	7,597	141	63	52	26	7,189	29	192	46
2015	노원구	상계1동	13,027	355	61	206	88	10,901	371	1,323	77
2015	노원구	상계2동	5,875	712	55	489	168	3,908	200	967	88
2015	노원구	상계5동	6,337	981	124	677	180	3,458	179	1,615	104
2015	노원구	상계8동	9,090	X	X	X	X	9,090	X	X	X
2015	노원구	상계9동	8,260	X	X	X	X	8,258	X	X	X
2015	노원구	상계10동	7,252	X	X	X	X	7,252	X	X	X
2015	노원구	상계3.4동	10,457	2,516	1,670	730	116	5,222	885	1,766	68
2015	노원구	상계6.7동	13,190	X	X	X	X	13,190	X	X	X
2015	노원구	중계2.3동	14,301	X	X	X	X	14,245	56	X	X
2015	노원구	공릉1동	12,745	806	41	543	222	8,561	358	2,890	130
2015	은평구	소계	140,330	18,582	6,016	9,813	2,753	50,419	6,886	63,059	1,384
2015	은평구	녹번동	9,309	1,237	262	778	197	2,819	565	4,595	93
2015	은평구	불광1동	13,050	1,201	435	608	158	7,254	496	4,014	85
2015	은평구	갈현1동	6,776	1,527	701	644	182	713	492	3,935	109
2015	은평구	갈현2동	8,472	1,028	352	481	195	1,345	405	5,569	125
2015	은평구	구산동	9,417	912	334	411	167	2,604	698	5,138	65
2015	은평구	대조동	9,208	1,585	435	872	278	1,621	241	5,638	123
2015	은평구	응암1동	8,699	1,098	307	621	170	2,623	564	4,327	87
2015	은평구	응암2동	6,956	1,097	412	585	100	3,751	148	1,914	46
2015	은평구	신사1동	8,358	658	211	284	163	2,545	539	4,552	64
2015	은평구	신사2동	6,039	1,148	413	597	138	2,312	383	2,137	59
2015	은평구	증산동	5,450	929	277	555	97	1,933	733	1,803	52
2015	은평구	수색동	5,613	1,082	508	489	85	2,338	411	1,713	69
2015	은평구	진관동	15,432	122	101	7	14	15,276	X	22	12
