기간	자치구	동	면적	면적	동	동	통	반
기간	자치구	동	면적	구성비(%)	행정	법정	통	반
2018	구로구	오류1동	0.59	0.1	1	1	36	257
2018	구로구	오류2동	4.6	0.8	1	2	64	411
2018	구로구	수궁동	2.67	0.4	1	2	31	279
2018	구로구	가리봉동	0.4	0.1	1	1	39	297
2018	구로구	구로2동	1.76	0.3	1	-	59	482
2018	구로구	개봉1동	1.31	0.2	1	1	47	376
2018	금천구	소계	13.02	2.2	10	3	381	2 874
2018	금천구	가산동	2.52	0.4	1	1	33	254
2018	금천구	독산1동	2.09	0.3	1	1	55	343
2018	금천구	독산2동	0.6	0.1	1	-	33	249
2018	금천구	독산3동	0.92	0.2	1	-	46	359
2018	금천구	독산4동	0.59	0.1	1	-	28	215
2018	금천구	시흥1동	1.71	0.3	1	1	56	514
2018	금천구	시흥2동	1.26	0.2	1	-	33	225
2018	금천구	시흥3동	1.07	0.2	1	-	22	176
2018	금천구	시흥4동	0.87	0.1	1	-	34	247
2018	금천구	시흥5동	1.39	0.2	1	-	41	292
2018	영등포구	소계	24.55	4.1	18	34	577	4 869
2018	영등포구	여의동	8.4	1.4	1	1	44	368
2018	영등포구	당산1동	0.75	0.1	1	3	31	250
2018	영등포구	당산2동	1.55	0.3	1	4	37	346
2018	영등포구	양평1동	0.88	0.1	1	4	23	196
2018	영등포구	양평2동	3	0.5	1	4	31	246
2018	영등포구	신길1동	0.66	0.1	1	1	33	308
2018	영등포구	신길3동	0.52	0.1	1	-	29	247
2018	영등포구	신길4동	0.35	0.1	1	-	22	169
2018	영등포구	신길5동	0.47	0.1	1	-	29	248
2018	영등포구	신길6동	0.68	0.1	1	-	34	281
2018	영등포구	신길7동	0.64	0.1	1	-	26	191
2018	영등포구	대림1동	0.49	0.1	1	1	25	228
2018	영등포구	대림2동	0.55	0.1	1	-	30	263
2018	영등포구	대림3동	0.95	0.2	1	-	39	336
2018	영등포구	영등포본동	1.02	0.2	1	1	39	324
2018	영등포구	영등포동	1.26	0.2	1	8	30	238
2018	영등포구	도림동	0.89	0.1	1	1	37	299
2018	영등포구	문래동	1.49	0.2	1	6	38	331
2018	동작구	소계	16.35	2.7	15	9	528	3 568
2018	동작구	노량진2동	0.64	0.1	1	-	24	157
2018	동작구	상도1동	1.51	0.2	1	2	45	360
2018	동작구	상도2동	0.98	0.2	1	-	39	248
2018	동작구	상도3동	0.6	0.1	1	-	26	162
2018	동작구	상도4동	0.75	0.1	1	-	33	223
2018	동작구	사당1동	0.79	0.1	1	-	32	205
2018	동작구	사당3동	0.92	0.2	1	-	38	212
2018	동작구	사당4동	0.38	0.1	1	-	22	143
2018	동작구	사당5동	0.57	0.1	1	-	18	150
2018	동작구	대방동	1.55	0.3	1	1	43	323
2018	동작구	신대방1동	0.62	0.1	1	1	36	212
2018	동작구	신대방2동	1.03	0.2	1	-	22	178
2018	동작구	흑석동	1.68	0.3	1	1	61	371
2018	동작구	노량진1동	1.58	0.3	1	2	47	330
2018	동작구	사당2동	2.75	0.5	1	2	42	294
2018	관악구	소계	29.57	4.9	21	3	637	5 187
2018	관악구	보라매동	0.76	0.1	1	1	29	247
2018	관악구	청림동	0.78	0.1	1	-	48	443
2018	관악구	행운동	0.39	0.1	1	-	20	162
2018	관악구	낙성대동	0.3	0	1	-	24	185
2018	관악구	중앙동	2.27	0.4	1	-	20	151
2018	관악구	인헌동	1.08	0.2	1	-	28	254
2018	관악구	남현동	3.27	0.5	1	1	17	143
2018	관악구	서원동	0.54	0.1	1	-	22	191
2018	관악구	신원동	0.64	0.1	1	1	30	222
2018	관악구	서림동	0.67	0.1	1	-	25	224
2018	관악구	신사동	1.38	0.2	1	-	42	290
2018	관악구	신림동	0.96	0.2	1	-	39	338
2018	관악구	난향동	0.8	0.1	1	-	25	198
2018	관악구	조원동	0.65	0.1	1	-	24	177
2018	관악구	대학동	0.55	0.1	1	-	23	179
2018	관악구	은천동	1.18	0.2	1	-	41	391
2018	관악구	성현동	0.68	0.1	1	-	45	333
2018	관악구	청룡동	0.72	0.1	1	-	37	287
2018	관악구	난곡동	8.3	1.4	1	-	30	244
2018	관악구	삼성동	0.99	0.2	1	-	30	231
2018	관악구	미성동	2.66	0.4	1	-	38	297
2018	서초구	소계	46.98	7.8	18	10	549	3 737
2018	서초구	서초1동	1.42	0.2	1	-	25	204
2018	서초구	서초2동	1.24	0.2	1	-	29	257
2018	서초구	서초3동	2.93	0.5	1	2	41	310
2018	서초구	서초4동	0.88	0.1	1	-	31	193
2018	서초구	잠원동	1.76	0.3	1	-	47	368
2018	서초구	반포본동	1.01	0.2	1	-	15	102
2018	서초구	반포1동	1	0.2	1	-	27	169
2018	서초구	반포2동	1.35	0.2	1	-	27	191
2018	서초구	반포3동	1.28	0.2	1	1	29	191
2018	서초구	반포4동	1.43	0.2	1	-	22	160
2018	서초구	방배본동	0.67	0.1	1	-	23	195
2018	서초구	방배1동	0.7	0.1	1	-	25	143
2018	서초구	방배2동	1.93	0.3	1	-	44	292
2018	서초구	방배3동	2.4	0.4	1	-	32	228
2018	서초구	방배4동	0.98	0.2	1	-	32	176
2018	서초구	양재1동	5.76	1	1	2	53	271
2018	서초구	양재2동	7.58	1.3	1	2	23	135
2018	서초구	내곡동	12.68	2.1	1	3	24	152
2018	강남구	소계	39.5	6.5	22	14	836	5 551
2018	강남구	신사동	1.89	0.3	1	1	34	212
2018	강남구	논현1동	1.25	0.2	1	1	42	281
2018	강남구	논현2동	1.47	0.2	1	-	37	264
2018	강남구	삼성1동	1.94	0.3	1	1	23	147
2018	강남구	삼성2동	1.24	0.2	1	-	45	287
2018	강남구	대치1동	0.79	0.1	1	1	28	194
2018	강남구	대치4동	0.73	0.1	1	-	28	178
2018	강남구	역삼1동	2.35	0.4	1	1	51	333
2018	강남구	역삼2동	1.15	0.2	1	-	49	320
2018	강남구	도곡1동	1.02	0.2	1	1	35	237
2018	강남구	도곡2동	1.02	0.2	1	-	42	315
2018	강남구	개포1동	1.27	0.2	1	1	32	199
2018	강남구	개포4동	1.49	0.2	1	-	35	249
2018	강남구	일원본동	0.92	0.2	1	1	27	176
2018	강남구	일원1동	1.24	0.2	1	-	26	185
2018	강남구	일원2동	1.43	0.2	1	-	27	193
2018	강남구	수서동	6.36	1.1	1	1	58	323
2018	강남구	세곡동	2.58	0.4	1	3	31	209
2018	강남구	압구정동	2.53	0.4	1	1	38	253
2018	강남구	청담동	2.33	0.4	1	1	48	341
2018	강남구	대치2동	2	0.3	1	-	54	361
2018	강남구	개포2동	2.51	0.4	1	-	46	294
2018	송파구	소계	33.87	5.6	27	13	748	4 229
2018	송파구	풍납1동	0.77	0.1	1	1	22	114
2018	송파구	풍납2동	1.59	0.3	1	-	30	168
2018	송파구	거여1동	0.51	0.1	1	1	15	77
2018	송파구	거여2동	0.53	0.1	1	-	35	182
2018	송파구	마천1동	0.58	0.1	1	1	26	133
2018	송파구	마천2동	0.89	0.1	1	-	26	147
2018	송파구	방이1동	0.5	0.1	1	1	18	102
2018	송파구	방이2동	0.8	0.1	1	-	34	198
2018	송파구	오륜동	3.17	0.5	1	-	15	100
2018	송파구	오금동	1.65	0.3	1	1	43	226
2018	송파구	송파1동	0.79	0.1	1	1	31	181
2018	송파구	송파2동	0.53	0.1	1	-	21	116
2018	송파구	석촌동	0.95	0.2	1	1	40	240
2018	송파구	삼전동	0.95	0.2	1	1	43	258
2018	송파구	가락본동	1.13	0.2	1	1	28	155
2018	송파구	가락1동	1.34	0.2	1	-	23	154
2018	송파구	가락2동	0.96	0.2	1	-	32	193
2018	송파구	문정1동	0.56	0.1	1	1	22	132
2018	송파구	문정2동	2.2	0.4	1	-	36	183
2018	송파구	장지동	1.37	0.2	1	1	34	204
2018	송파구	위례동	2.55	0.4	1	-	22	97
2018	송파구	잠실본동	0.94	0.2	1	1	39	234
2018	송파구	잠실4동	1.56	0.3	1	1	24	138
