기간	자치구	동	합계	합계	20대 이하(29세 이하)	20대 이하(29세 이하)	30대(30~39세)	30대(30~39세)	40대(40~49세)	40대(40~49세)	50대(50~59세)	50대(50~59세)	60대 이상(60세 이상)	60대 이상(60세 이상)
기간	자치구	동	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수
2017	마포구	소계	36,325	247,999	1,439	4,084	7,249	28,317	11,154	67,084	10,068	96,049	6,415	52,465
2017	마포구	용강동	2,550	18,504	53	132	343	1,216	855	6,938	818	5,094	481	5,124
2017	마포구	대흥동	1,547	9,660	43	140	255	954	459	2,534	457	2,834	333	3,198
2017	마포구	염리동	699	4,050	26	89	103	351	186	739	230	1,944	154	927
2017	마포구	신수동	1,230	5,629	35	101	173	502	364	1,431	377	2,325	281	1,270
2017	마포구	서교동	9,686	60,482	531	1,733	2,625	10,875	3,253	19,983	2,198	18,135	1,079	9,756
2017	마포구	합정동	2,044	12,112	83	201	481	1,546	596	3,286	535	4,084	349	2,995
2017	마포구	망원1동	1,802	4,625	80	200	322	816	413	1,373	481	1,383	506	853
2017	마포구	망원2동	1,360	4,614	44	93	236	603	383	1,512	429	1,761	268	645
2017	마포구	연남동	1,611	6,441	147	323	482	1,504	443	2,030	332	1,688	207	896
2017	마포구	성산1동	1,488	13,161	30	74	219	890	483	2,599	462	6,502	294	3,096
2017	마포구	성산2동	1,747	12,091	30	87	192	667	501	2,043	596	6,007	428	3,287
2017	마포구	상암동	2,324	37,364	91	288	499	2,585	778	8,634	651	19,843	305	6,014
2017	마포구	도화동	2,047	15,957	35	90	301	1,140	616	4,326	640	7,139	455	3,262
2017	마포구	서강동	1,779	11,995	107	264	484	2,223	562	2,932	391	3,313	235	3,263
2017	마포구	공덕동	2,781	19,160	54	118	320	1,577	784	3,929	948	8,922	675	4,614
2017	마포구	아현동	1,630	12,154	50	151	214	868	478	2,795	523	5,075	365	3,265
2017	양천구	소계	26,077	119,943	606	1,692	3,213	10,868	6,737	29,115	9,110	48,715	6,411	29,553
2017	양천구	목1동	2,943	21,054	82	258	555	2,637	1,013	5,490	900	7,903	393	4,766
2017	양천구	목2동	1,145	4,186	36	81	149	500	262	1,000	422	1,769	276	836
2017	양천구	목3동	1,233	4,938	39	93	178	547	309	1,109	449	1,599	258	1,590
2017	양천구	목4동	1,352	3,950	34	72	177	483	358	990	503	1,675	280	730
2017	양천구	신월1동	1,853	5,569	38	94	172	448	422	1,466	728	2,326	493	1,235
2017	양천구	신월2동	1,223	4,039	24	56	110	287	277	805	429	1,794	383	1,097
2017	양천구	신월3동	955	4,126	20	78	87	382	217	889	347	1,579	284	1,198
2017	양천구	신월4동	1,174	3,992	18	42	112	241	275	1,330	410	1,328	359	1,051
2017	양천구	신월5동	1,013	4,814	22	72	97	256	241	1,053	419	2,699	234	734
2017	양천구	신월6동	1,387	3,329	5	16	51	190	136	752	470	1,008	725	1,363
2017	양천구	신월7동	1,384	5,674	27	89	126	329	310	1,641	488	1,635	433	1,980
2017	양천구	신정1동	1,148	5,075	38	91	151	494	313	878	408	2,439	238	1,173
2017	양천구	신정2동	1,110	3,688	29	57	147	426	336	1,263	377	1,277	221	665
2017	양천구	신정3동	1,795	9,428	32	79	157	562	431	2,485	680	4,121	495	2,181
2017	양천구	신정6동	758	6,407	23	101	135	517	206	919	251	4,202	143	668
2017	양천구	신정7동	1,024	4,837	21	63	134	455	257	1,082	361	2,436	251	801
2017	양천구	목5동	1,537	9,883	30	82	242	732	501	1,758	513	3,553	251	3,758
2017	양천구	신정4동	3,043	14,954	88	268	433	1,382	873	4,205	955	5,372	694	3,727
2017	강서구	소계	36,556	234,394	930	3,215	5,094	20,406	9,777	60,865	12,026	84,053	8,729	65,855
2017	강서구	염창동	2,126	16,513	54	169	263	1,040	583	4,694	778	6,532	448	4,078
2017	강서구	등촌1동	1,892	15,709	55	216	257	1,165	558	3,024	654	8,728	368	2,576
2017	강서구	등촌2동	737	3,766	17	29	90	252	175	662	279	1,719	176	1,104
2017	강서구	등촌3동	2,657	23,388	87	349	371	2,133	835	4,921	839	7,566	525	8,419
2017	강서구	화곡본동	1,356	4,073	22	43	183	461	353	1,182	430	1,222	368	1,165
2017	강서구	화곡2동	848	2,465	14	27	134	275	203	518	282	1,031	215	614
2017	강서구	화곡3동	1,212	4,827	43	120	189	741	315	1,105	419	2,165	246	696
2017	강서구	화곡4동	1,482	3,728	41	100	186	450	346	844	513	1,556	396	778
2017	강서구	화곡6동	1,846	10,871	54	211	305	1,409	469	2,528	620	3,681	398	3,042
2017	강서구	화곡8동	1,259	4,007	34	86	185	509	321	1,598	412	1,231	307	583
2017	강서구	가양1동	3,512	35,037	124	457	721	2,952	1,184	7,494	1,001	11,828	482	12,306
2017	강서구	가양2동	595	3,590	8	38	72	285	149	1,075	193	1,518	173	674
2017	강서구	가양3동	907	7,967	20	110	63	509	261	2,452	326	3,500	237	1,396
2017	강서구	발산1동	2,340	12,646	45	151	289	1,322	649	2,861	823	4,029	534	4,283
2017	강서구	공항동	2,096	37,599	45	141	281	1,286	635	14,619	699	8,386	436	13,167
2017	강서구	방화1동	2,677	10,176	65	212	352	1,204	725	2,861	863	3,717	672	2,182
2017	강서구	방화2동	3,318	15,126	67	354	346	1,617	584	2,985	1,021	7,317	1,300	2,853
2017	강서구	방화3동	908	4,516	13	47	82	277	188	701	340	1,742	285	1,749
2017	강서구	화곡1동	3,104	11,276	73	227	461	1,629	761	2,870	1,028	3,691	781	2,859
2017	강서구	우장산동	1,684	7,114	49	128	264	890	483	1,871	506	2,894	382	1,331
2017	구로구	소계	38,405	213,468	888	3,310	4,779	16,973	10,980	59,059	13,153	89,724	8,605	44,402
2017	구로구	신도림동	2,864	15,345	102	297	430	1,453	771	3,602	982	7,158	579	2,835
2017	구로구	구로1동	736	3,105	13	29	99	270	180	584	251	1,591	193	631
2017	구로구	구로3동	7,227	83,892	203	1,304	1,135	5,801	2,640	28,201	2,351	36,181	898	12,405
2017	구로구	구로4동	2,042	5,162	59	130	246	530	535	1,419	667	2,031	535	1,052
2017	구로구	구로5동	4,907	27,070	158	477	652	2,592	1,236	6,887	1,613	11,314	1,248	5,800
2017	구로구	고척1동	2,590	9,541	54	153	248	969	602	1,909	1,013	4,011	673	2,499
2017	구로구	고척2동	1,407	3,918	22	57	139	321	362	1,016	509	1,723	375	801
2017	구로구	개봉2동	1,170	3,247	23	40	131	370	261	859	403	1,156	352	822
2017	구로구	개봉3동	990	5,743	19	46	116	278	248	690	340	1,170	267	3,559
2017	구로구	오류1동	1,125	4,610	24	109	160	428	257	1,418	343	1,158	341	1,497
2017	구로구	오류2동	1,575	7,814	33	92	176	668	419	1,375	511	3,672	436	2,007
2017	구로구	수궁동	1,266	5,886	21	235	119	323	290	988	428	2,427	408	1,913
2017	구로구	가리봉동	986	2,783	40	76	121	239	226	1,052	323	840	276	576
2017	구로구	구로2동	7,816	29,888	83	175	841	2,326	2,514	7,847	2,808	13,051	1,570	6,489
2017	구로구	개봉1동	1,704	5,464	34	90	166	405	439	1,212	611	2,241	454	1,516
