,자치구,동,업체명,동주소,경도,위도
331,강서구,가양3동,대양가스충전소,서울특별시  강서구 양천로 551,37.5583883,126.8585873
333,강서구,공항동,(주)삼표에너지 김포충전소,서울특별시  강서구 오정로 390,37.5380632,126.7959011
334,강서구,공항동,강서가스충전소,서울특별시  강서구 벌말로 266,37.5549768,126.766738
335,강서구,공항동,(주)에너지플러스 오곡동충전소,서울특별시  강서구 벌말로 271,37.555591,126.7660194
337,강서구,방화2동,한경에너지,서울특별시  강서구 개화동로 255,37.5706795,126.7948821
338,강서구,방화2동,한경에너지,서울특별시  강서구 개화동로 255,37.5706795,126.7948821
339,강서구,방화2동,복지개화충전소,서울특별시  강서구 개화동로 416,37.5747135,126.7995575
340,강서구,방화2동,복지개화충전소,서울특별시  강서구 개화동로 416,37.5747135,126.7995575
344,강서구,화곡1동,대흥에너지산업(주),서울특별시  강서구 곰달래로24길 19,37.5297238,126.8450293
348,구로구,구로3동,동일석유(주)남부충전소,서울특별시  구로구 시흥대로 573,37.4842727,126.8997642
349,구로구,구로3동,동일석유(주)남부충전소,서울특별시  구로구 시흥대로 573,37.4842727,126.8997642
359,구로구,오류2동,대성산업(주)오류동충전소,서울특별시  구로구 경인로8길 31,37.5380425,126.7280496
360,구로구,수궁동,오승프라임산업(주),서울특별시  구로구 신정로 59,37.5069035,126.826906
362,구로구,구로2동,한일가스산업(주),서울특별시  구로구 경인로 537,37.5018823,126.8756656
363,구로구,개봉1동,개봉충전소,서울특별시  구로구 경인로 364,37.4964212,126.8583566
364,구로구,개봉1동,개봉충전소,서울특별시  구로구 경인로 364,37.4964212,126.8583566
365,구로구,개봉1동,개봉충전소,서울특별시  구로구 경인로 364,37.4964212,126.8583566
369,금천구,독산2동,(주)중앙에너비스 삼중가스지점,서울특별시  금천구 시흥대로 316,37.4617966,126.8961355
389,영등포구,양평1동,양평동충전소,서울특별시  영등포구 선유로 157,37.5279356,126.8889105
390,영등포구,양평2동,기린에너지,서울특별시  영등포구 선유로52길 5,37.5362563,126.8967643
410,영등포구,문래동,(주)세지,서울특별시  영등포구 선유로 37,37.5174334,126.8862583
411,영등포구,문래동,(주)세지,서울특별시  영등포구 선유로 37,37.5174334,126.8862583
417,동작구,사당1동,수도석유(주)방배충전소,서울특별시  서초구 동작대로 26,37.4868961,126.973018
421,동작구,대방동,동일석유(주)동주충전소,서울특별시  동작구 상도로 74,37.4994173,126.9266463
433,관악구,낙성대동,명화가스(주),서울특별시  관악구 관악로 96,37.4736762,126.9512765
439,관악구,서림동,신림충전소,서울특별시  관악구 신림로 170,37.4735388,126.9319687
460,서초구,잠원동,(주)영동가스,서울특별시  서초구 잠원로 181,37.5188926,127.0096661
473,서초구,방배3동,서초충전소,서울특별시  서초구 남부순환로 2224,37.4730658,126.9932777
476,서초구,양재2동,(주)에이치앤디이-서울만남의광장,서울특별시  서초구 양재대로12길 73-71,37.4599063,127.0398714
