,0,1,2,4,5,동
57,난곡주유소,서울특별시 관악구 신림동 616-1번지 ,서울특별시 관악구 난곡로 206 (신림동),37.4733457,126.916569,신림동
58,신관주유소,서울특별시 관악구 신림동 1641-58번지 ,서울특별시 관악구 신림로 290 (신림동),37.4803339,126.9285108,신림동
59,현대주유소,서울특별시 관악구 신림동 666-14번지 ,서울특별시 관악구 난곡로 108 (신림동),37.4649327,126.9174633,신림동
60,시몬주유소,서울특별시 관악구 봉천동 912-15번지 ,서울특별시 관악구 남부순환로 1753 (봉천동),37.4823516,126.9428778,봉천동
61,문성골주유소,서울특별시 관악구 신림동 1477-5번지 ,서울특별시 관악구 문성로 97 (신림동),37.4777782,126.9121749,신림동
62,SK네트웍스(주) 관악로주유소,서울특별시 관악구 봉천동 37-82번지 ,서울특별시 관악구 관악로 260 (봉천동),37.4871788,126.9558011,봉천동
63,방아다리주유소,서울특별시 강동구 명일동 216-5번지 ,서울특별시 강동구 동남로 811 (명일동),37.5485148,127.1341524,명일동
64,신월주유소,서울특별시 강동구 성내동 439-16번지 ,서울특별시 강동구 양재대로 1323 (성내동),37.5349201,127.1218561,성내동
65,대성석유(주)길동주유소,서울특별시 강동구 둔촌동 66-2번지 ,서울특별시 강동구 천호대로 1168 (둔촌동),37.5245919,127.1437006,둔촌동
66,광성주유소,서울특별시 강동구 천호동 354-4번지 ,서울특별시 강동구 올림픽로 673 (천호동),37.5415336,127.1219462,천호동
67,sk네트웍스(주)고속주유소,서울특별시 강동구 둔촌동 600-1번지 ,서울특별시 강동구 천호대로 1246 (둔촌동),37.5360802,127.1510635,둔촌동
68,SK네트웍스(주)암사주유소,서울특별시 강동구 암사동 513-27번지 ,서울특별시 강동구 올림픽로 749 (암사동),37.5482544,127.124235,암사동
69,(주)소모에너지엔테크놀러지 성내주유소,서울특별시 강동구 성내동 108-9번지 107-7 ,서울특별시 강동구 올림픽로 578 (성내동),37.531341,127.1251202,성내동
70,(주)선우지에스엠 Q엔느 강동주유소,서울특별시 강동구 길동 368-5번지 ,서울특별시 강동구 양재대로 1509 (길동),37.537769,127.1378033,길동
71,SK네트웍스(주)명일주유소,서울특별시 강동구 명일동 305-51번지 ,서울특별시 강동구 고덕로 168 (명일동),37.5525069,127.1392818,명일동
72,씨제이대한통운㈜ 직영 천호점주유소,서울특별시 강동구 천호동 308-11번지 ,서울특별시 강동구 천중로 67 (천호동),37.5451051,127.1272683,천호동
73,㈜지유에너지 직영 오렌지주유소,서울특별시 강동구 성내동 385-4번지 ,서울특별시 강동구 성안로 102 (성내동),37.5322642,127.1309466,성내동
74,구천면주유소,서울특별시 강동구 암사동 425-187번지 ,서울특별시 강동구 구천면로 357 (암사동),37.5504208,127.1360441,암사동
75,구도일주유소 코알라,서울특별시 강동구 성내동 319-1번지 ,서울특별시 강동구 올림픽로 556 (성내동),37.5293901,127.1202383,성내동
76,알이디씨 주식회사(천동주유소),서울특별시 강동구 천호동 458-3번지 ,서울특별시 강동구 천호대로 987 (천호동),37.5430144,127.1331216,천호동
77,SK네트웍스(주) 직영 한미주유소,서울특별시 강동구 성내동 550번지 ,서울특별시 강동구 성내로 32 (성내동),37.5291389,127.1216035,성내동
78,(주)삼표에너지 고덕주유소,서울특별시 강동구 암사동 441-14번지 ,서울특별시 강동구 고덕로 39 (암사동),37.5549868,127.1275009,암사동
79,SK 네트웍스(주) 길동주유소,서울특별시 강동구 길동 255-2번지 ,서울특별시 강동구 천호대로 1221 (길동),37.5378049,127.1455652,길동
80,해뜨는 주유소,서울특별시 강동구 강일동 642-1번지 ,서울특별시 강동구 상일로 132 (강일동),37.558717,127.1691898,강일동
81,코끼리주유소,서울특별시 은평구 녹번동 154-1번지 ,서울특별시 은평구 서오릉로 41 (녹번동),37.6044033,126.9220078,녹번동
82,타이거주유소,서울특별시 은평구 증산동 222-6번지 ,서울특별시 은평구 수색로 188 (증산동),37.5843431,126.9053666,증산동
83,신사제일주유소,서울특별시 은평구 신사동 35-11번지 ,서울특별시 은평구 증산로 423 (신사동),37.594051,126.9117324,신사동
84,불광주유소,서울특별시 은평구 불광동 105-118번지 ,서울특별시 은평구 연서로 314 (불광동),37.6194168,126.9202046,불광동
85,다회주유소,서울특별시 은평구 신사동 34-37번지 ,서울특별시 은평구 증산로 441 (신사동),37.5955921,126.9122626,신사동
86,삼융주유소,서울특별시 은평구 수색동 379-8번지 ,서울특별시 은평구 수색로 299 (수색동),37.5839269,126.8889421,수색동
87,삼미상사(주)북부주유소,서울특별시 도봉구 쌍문동 103-7번지 ,서울특별시 도봉구 도봉로 437 (쌍문동),37.6496008,127.0184599,쌍문동
88,극동유화(주) 대안주유소,서울특별시 도봉구 창동 744번지 ,서울특별시 도봉구 마들로 574 (창동),37.6614812,127.0453501,창동
89,한유이엔지주식회사 KLP제1주유소,서울특별시 도봉구 창동 731-19번지 ,서울특별시 도봉구 도봉로 596 (창동),37.6577143,127.0383806,창동
90,도봉주유소,서울특별시 도봉구 도봉동 561-6번지 ,서울특별시 도봉구 도봉로 895 (도봉동),37.6844111,127.0433099,도봉동
91,(주)디케이비엠시구도일주유소 도봉,서울특별시 도봉구 방학동 705-15번지 ,서울특별시 도봉구 도봉로 706 (방학동),37.6674854,127.0414263,방학동
92,(주)송만에너지 도봉제일주유소,서울특별시 도봉구 도봉동 601-55번지 ,서울특별시 도봉구 도봉로 783 (도봉동),37.674434,127.041862,도봉동
93,현대오일뱅크(주)직영 쌍문셀프주유소(쌍문점),서울특별시 도봉구 쌍문동 342-1번지 ,서울특별시 도봉구 노해로 161 (쌍문동),37.6490417,127.0246104,쌍문동
94,오복주유소,서울특별시 도봉구 방학동 724-5번지 ,서울특별시 도봉구 방학로 43 (방학동),37.6622407,127.045235,방학동
95,쌍문주유소,서울특별시 도봉구 쌍문동 699번지 ,서울특별시 도봉구 도봉로 547 (쌍문동),37.6526446,127.0097446,쌍문동
96,정다운주유소,서울특별시 도봉구 쌍문동 707번지 920호 ,서울특별시 도봉구 도봉로 635 (쌍문동),37.6558344,127.0366799,쌍문동
97,(주)디케이비엠시 서현주유소,서울특별시 도봉구 방학동 691번지 345호 ,서울특별시 도봉구 방학로 142 (방학동),37.6630108,127.0342094,방학동
98,해와달주유소,서울특별시 도봉구 도봉동 629번지 ,서울특별시 도봉구 마들로 776 (도봉동),37.678829,127.0475158,도봉동
99,동일석유(주)창동주유소,서울특별시 도봉구 창동 650-65번지 ,서울특별시 도봉구 도봉로 434 (창동),37.6445794,127.0305858,창동
100,대성산업(주)신창주유소,서울특별시 도봉구 창동 603-84번지 ,서울특별시 도봉구 덕릉로 267 (창동),37.6413062,127.0380024,창동
101,방학동주유소(GS칼텍스),서울특별시 도봉구 방학동 668-10번지 ,서울특별시 도봉구 방학로 186 (방학동),37.6624409,127.0293171,방학동
102,SK네트웍스(주) 영신주유소,서울특별시 도봉구 방학동 671-2번지 ,서울특별시 도봉구 방학로 151 (방학동),37.6624409,127.0293171,방학동
103,(주)소모에너지엔테크놀러지 신중계주유소,서울특별시 도봉구 방학동 725-9520호 ,서울특별시 도봉구 방학로 21 (방학동),37.6617434,127.0475898,방학동
104,SK북악주유소,서울특별시 종로구 평창동 103-1번지 ,서울특별시 종로구 평창문화로 137 (평창동),37.6080297,126.9715578,평창동
105,(주)마봉 안풍주유소,서울특별시 종로구 홍지동 126-1번지 ,서울특별시 종로구 자하문로 303 (홍지동),37.6012246,126.9515897,홍지동
106,(주)지에스이앤알 평창주유소,서울특별시 종로구 평창동 80-1번지 ,서울특별시 종로구 평창문화로 135 (평창동),37.6062322,126.9601201,평창동
107,구도일주유소 특종,서울특별시 종로구 평창동 198-1번지 ,서울특별시 종로구 평창문화로 90 (평창동),37.6114973,126.970261,평창동
108,SK네트웍스(주)재동주유소,서울특별시 종로구 경운동 96-18번지 ,서울특별시 종로구 율곡로 58 (경운동),37.5743567,126.9849519,경운동
109,주식회사 대양씨앤씨 경복궁주유소,서울특별시 종로구 중학동 14번지 ,서울특별시 종로구 율곡로 6 (중학동),37.5760111,126.9784732,중학동
110,주식회사 대양씨앤씨,서울특별시 종로구 사직동 262-85번지 ,서울특별시 종로구 사직로 65 (사직동),37.5744645,126.9644294,사직동
111,(주)중앙에너비스혜화지점,서울특별시 종로구 혜화동 102-2번지 ,서울특별시 종로구 창경궁로35길 1 (혜화동),37.5845583,126.9989325,혜화동
112,무궁화주유소,서울특별시 은평구 응암동 594-1번지 ,서울특별시 은평구 응암로 163 (응암동),37.5867041,126.9137073,응암동
113,증산주유소,서울특별시 은평구 증산동 174-1번지 ,서울특별시 은평구 증산로 275 (증산동),37.5867037,126.9071412,증산동
114,갈현주유소,서울특별시 은평구 갈현동 506-5번지 ,서울특별시 은평구 갈현로 197 (갈현동),37.6153296,126.9106606,갈현동
115,수색훼미리주유소,서울특별시 은평구 수색동 154-5번지 ,서울특별시 은평구 수색로 236 (수색동),37.581122,126.8955853,수색동
116,현대주유소,서울특별시 양천구 신월동 167-1번지 ,서울특별시 양천구 남부순환로 372 (신월동),37.5338107,126.8270511,신월동
117,신양주유소,서울특별시 양천구 신월동 951-4번지 ,서울특별시 양천구 지양로 67 (신월동),37.5214632,126.8316323,신월동
118,목동주유소,서울특별시 양천구 목동 199-58번지 ,서울특별시 양천구 목동중앙로 125 (목동),37.539599,126.8723837,목동
119,신월동주유소,서울특별시 양천구 신월동 199-5번지 ,서울특별시 양천구 남부순환로 408 (신월동),37.5310027,126.8288329,신월동
120,현대오일뱅크(주) 직영 목동셀프주유소,서울특별시 양천구 목동 516-1번지 ,서울특별시 양천구 공항대로 648 (목동),37.5463168,126.86172,목동
121,SK에너지(주)신평주유소,서울특별시 양천구 신정동 209-6번지 ,서울특별시 양천구 목동남로 62 (신정동),37.5093616,126.8640381,신정동
122,대농self주유소,서울특별시 양천구 신월동 474-4번지 ,서울특별시 양천구 중앙로 331 (신월동),37.5254507,126.8475681,신월동
123,(주)삼표에너지 목동주유소,서울특별시 양천구 목동 905-30번지 ,서울특별시 양천구 목동서로 129 (목동),37.532098,126.8733326,목동
