,자치구,동,합계_사업체수,store_총_개소,백화점_개소,백화점_건물연면적,복합쇼핑몰_개소,복합쇼핑몰_건물연면적,전문점_개소,전문점_건물연면적,총_수급자_가구,수입차합계,수입화물차,수입특수차
145,도봉구,쌍문3동,971,,,,,,,,379.0,7211.0,66.0,9.0
146,도봉구,쌍문4동,616,,,,,,,,159.0,7211.0,66.0,9.0
147,도봉구,방학1동,2266,2.0,0.0,0.0,0.0,0.0,0.0,0.0,854.0,7211.0,66.0,9.0
148,도봉구,방학2동,1207,,,,,,,,1217.0,7211.0,66.0,9.0
149,도봉구,방학3동,872,1.0,0.0,0.0,0.0,0.0,0.0,0.0,232.0,7211.0,66.0,9.0
150,도봉구,창1동,1413,,,,,,,,308.0,7211.0,66.0,9.0
151,도봉구,창2동,1356,2.0,0.0,0.0,0.0,0.0,0.0,0.0,647.0,7211.0,66.0,9.0
152,도봉구,창3동,929,,,,,,,,652.0,7211.0,66.0,9.0
153,도봉구,창4동,1277,,,,,,,,202.0,7211.0,66.0,9.0
154,도봉구,창5동,2133,1.0,0.0,0.0,0.0,0.0,0.0,0.0,324.0,7211.0,66.0,9.0
155,도봉구,도봉1동,1714,1.0,0.0,0.0,0.0,0.0,0.0,0.0,840.0,7211.0,66.0,9.0
156,도봉구,도봉2동,1465,2.0,0.0,0.0,0.0,0.0,0.0,0.0,636.0,7211.0,66.0,9.0
157,노원구,월계1동,1488,,,,,,,,508.0,12458.0,91.0,13.0
158,노원구,월계2동,944,,,,,,,,1999.0,12458.0,91.0,13.0
159,노원구,월계3동,963,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1210.0,12458.0,91.0,13.0
160,노원구,공릉2동,1834,,,,,,,,483.0,12458.0,91.0,13.0
161,노원구,하계1동,1103,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1795.0,12458.0,91.0,13.0
162,노원구,하계2동,395,,,,,,,,608.0,12458.0,91.0,13.0
163,노원구,중계본동,1198,1.0,0.0,0.0,0.0,0.0,0.0,0.0,294.0,12458.0,91.0,13.0
164,노원구,중계1동,1000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,384.0,12458.0,91.0,13.0
165,노원구,중계4동,1049,,,,,,,,1148.0,12458.0,91.0,13.0
166,노원구,상계1동,3114,1.0,0.0,0.0,0.0,0.0,0.0,0.0,817.0,12458.0,91.0,13.0
167,노원구,상계2동,2614,3.0,1.0,72915.0,0.0,0.0,0.0,0.0,556.0,12458.0,91.0,13.0
168,노원구,상계5동,1605,1.0,0.0,0.0,0.0,0.0,0.0,0.0,872.0,12458.0,91.0,13.0
169,노원구,상계8동,595,,,,,,,,146.0,12458.0,91.0,13.0
170,노원구,상계9동,713,,,,,,,,201.0,12458.0,91.0,13.0
171,노원구,상계10동,455,,,,,,,,179.0,12458.0,91.0,13.0
172,노원구,상계3.4동,1278,,,,,,,,1472.0,12458.0,91.0,13.0
173,노원구,상계6.7동,1958,,,,,,,,436.0,12458.0,91.0,13.0
174,노원구,중계2.3동,1361,4.0,1.0,59789.0,0.0,0.0,0.0,0.0,2558.0,12458.0,91.0,13.0
175,노원구,공릉1동,2849,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1306.0,12458.0,91.0,13.0
176,은평구,녹번동,1895,,,,,,,,740.0,12155.0,105.0,6.0
177,은평구,불광1동,1677,3.0,0.0,0.0,0.0,0.0,0.0,0.0,953.0,12155.0,105.0,6.0
178,은평구,갈현1동,1457,1.0,0.0,0.0,0.0,0.0,0.0,0.0,967.0,12155.0,105.0,6.0
179,은평구,갈현2동,1596,1.0,0.0,0.0,0.0,0.0,0.0,0.0,743.0,12155.0,105.0,6.0
180,은평구,구산동,1205,,,,,,,,741.0,12155.0,105.0,6.0
181,은평구,대조동,2530,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1025.0,12155.0,105.0,6.0
182,은평구,응암1동,1600,1.0,0.0,0.0,0.0,0.0,0.0,0.0,533.0,12155.0,105.0,6.0
183,은평구,응암2동,654,1.0,0.0,0.0,0.0,0.0,0.0,0.0,468.0,12155.0,105.0,6.0
184,은평구,신사1동,1290,,,,,,,,523.0,12155.0,105.0,6.0
185,은평구,신사2동,1691,,,,,,,,615.0,12155.0,105.0,6.0
186,은평구,증산동,1017,1.0,0.0,0.0,0.0,0.0,0.0,0.0,345.0,12155.0,105.0,6.0
187,은평구,수색동,625,2.0,0.0,0.0,0.0,0.0,0.0,0.0,390.0,12155.0,105.0,6.0
188,은평구,진관동,1648,1.0,0.0,0.0,1.0,160220.0,0.0,0.0,569.0,12155.0,105.0,6.0
189,은평구,불광2동,1321,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1211.0,12155.0,105.0,6.0
190,은평구,응암3동,1844,2.0,0.0,0.0,0.0,0.0,0.0,0.0,965.0,12155.0,105.0,6.0
191,은평구,역촌동,2511,,,,,,,,1083.0,12155.0,105.0,6.0
192,서대문구,천연동,941,,,,,,,,501.0,11512.0,92.0,24.0
193,서대문구,홍제1동,1163,,,,,,,,372.0,11512.0,92.0,24.0
194,서대문구,홍제3동,1201,1.0,0.0,0.0,0.0,0.0,0.0,0.0,393.0,11512.0,92.0,24.0
195,서대문구,홍제2동,594,,,,,,,,268.0,11512.0,92.0,24.0
196,서대문구,홍은1동,964,1.0,0.0,0.0,0.0,0.0,0.0,0.0,523.0,11512.0,92.0,24.0
197,서대문구,홍은2동,1176,,,,,,,,617.0,11512.0,92.0,24.0
198,서대문구,남가좌1동,797,2.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,11512.0,92.0,24.0
199,서대문구,남가좌2동,1243,1.0,0.0,0.0,0.0,0.0,0.0,0.0,619.0,11512.0,92.0,24.0
200,서대문구,북가좌1동,665,,,,,,,,218.0,11512.0,92.0,24.0
201,서대문구,북가좌2동,2381,,,,,,,,738.0,11512.0,92.0,24.0
202,서대문구,충현동,1825,,,,,,,,349.0,11512.0,92.0,24.0
203,서대문구,북아현동,864,,,,,,,,307.0,11512.0,92.0,24.0
204,서대문구,신촌동,3720,3.0,1.0,84575.0,0.0,0.0,0.0,0.0,447.0,11512.0,92.0,24.0
205,서대문구,연희동,2318,1.0,0.0,0.0,0.0,0.0,0.0,0.0,497.0,11512.0,92.0,24.0
206,마포구,용강동,2550,,,,,,,,217.0,20922.0,153.0,20.0
207,마포구,대흥동,1547,1.0,0.0,0.0,0.0,0.0,0.0,0.0,282.0,20922.0,153.0,20.0
208,마포구,염리동,699,,,,,,,,237.0,20922.0,153.0,20.0
209,마포구,신수동,1230,1.0,0.0,0.0,0.0,0.0,0.0,0.0,197.0,20922.0,153.0,20.0
210,마포구,서교동,9686,3.0,0.0,0.0,0.0,0.0,1.0,29002.0,219.0,20922.0,153.0,20.0
211,마포구,합정동,2044,2.0,0.0,0.0,0.0,0.0,0.0,0.0,301.0,20922.0,153.0,20.0
212,마포구,망원1동,1802,,,,,,,,417.0,20922.0,153.0,20.0
213,마포구,망원2동,1360,1.0,0.0,0.0,0.0,0.0,0.0,0.0,263.0,20922.0,153.0,20.0
214,마포구,연남동,1611,1.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,20922.0,153.0,20.0
215,마포구,성산1동,1488,,,,,,,,320.0,20922.0,153.0,20.0
216,마포구,성산2동,1747,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1139.0,20922.0,153.0,20.0
217,마포구,상암동,2324,1.0,0.0,0.0,0.0,0.0,0.0,0.0,419.0,20922.0,153.0,20.0
218,마포구,도화동,2047,,,,,,,,313.0,20922.0,153.0,20.0
219,마포구,서강동,1779,1.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0,20922.0,153.0,20.0
220,마포구,공덕동,2781,3.0,0.0,0.0,0.0,0.0,0.0,0.0,624.0,20922.0,153.0,20.0
221,마포구,아현동,1630,,,,,,,,272.0,20922.0,153.0,20.0
222,양천구,목1동,2943,5.0,2.0,239441.0,0.0,0.0,0.0,0.0,140.0,19507.0,132.0,213.0
223,양천구,목2동,1145,1.0,0.0,0.0,0.0,0.0,0.0,0.0,405.0,19507.0,132.0,213.0
224,양천구,목3동,1233,1.0,0.0,0.0,0.0,0.0,0.0,0.0,475.0,19507.0,132.0,213.0
225,양천구,목4동,1352,1.0,0.0,0.0,0.0,0.0,0.0,0.0,406.0,19507.0,132.0,213.0
226,양천구,신월1동,1853,,,,,,,,1006.0,19507.0,132.0,213.0
227,양천구,신월2동,1223,,,,,,,,430.0,19507.0,132.0,213.0
228,양천구,신월3동,955,,,,,,,,790.0,19507.0,132.0,213.0
229,양천구,신월4동,1174,,,,,,,,201.0,19507.0,132.0,213.0
230,양천구,신월5동,1013,,,,,,,,346.0,19507.0,132.0,213.0
231,양천구,신월6동,1387,1.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,19507.0,132.0,213.0
232,양천구,신월7동,1384,1.0,0.0,0.0,0.0,0.0,0.0,0.0,536.0,19507.0,132.0,213.0
233,양천구,신정1동,1148,1.0,0.0,0.0,0.0,0.0,0.0,0.0,173.0,19507.0,132.0,213.0
234,양천구,신정2동,1110,,,,,,,,359.0,19507.0,132.0,213.0
235,양천구,신정3동,1795,,,,,,,,932.0,19507.0,132.0,213.0
236,양천구,신정6동,758,,,,,,,,23.0,19507.0,132.0,213.0
237,양천구,신정7동,1024,1.0,0.0,0.0,0.0,0.0,0.0,0.0,983.0,19507.0,132.0,213.0
238,양천구,목5동,1537,,,,,,,,22.0,19507.0,132.0,213.0
239,양천구,신정4동,3043,1.0,0.0,0.0,0.0,0.0,0.0,0.0,853.0,19507.0,132.0,213.0
240,강서구,염창동,2126,1.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,22535.0,201.0,35.0
241,강서구,등촌1동,1892,2.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,22535.0,201.0,35.0
242,강서구,등촌2동,737,,,,,,,,202.0,22535.0,201.0,35.0
243,강서구,등촌3동,2657,3.0,1.0,110026.0,0.0,0.0,1.0,38254.0,3502.0,22535.0,201.0,35.0
