,자치구,동,동별_승용차수,edu_percent,동별_친환경자동차수,store_총_개소,백화점_개소,합계_사업체수,㎡당 매매평균가,행정구역코드,가구수별_승용차수,동별_수소차_대수,택시,수소충전소,업체명,동주소,경도,위도,주차장명,주차장구분,주차장유형,주차구획수,주차급지구분,주차부제시행구분,주차운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,주차요금정보,주차기본시간,주차기본요금,주차경도,주차위도,interval_1,sum_1,sum_2,interval_2
465,영등포구,신길6동,1120.3068260654113,16804.357086223983,224.1594871159564,0.0,0.0,1282,741.0,1119068.0,0.11957592337126816,0.3457833548625208,6813943596.631578,0,,,,,신길6동공영주차장,공영,노외,129.0,5,미시행,평일+토요일+공휴일,10:00,19:00,10:00,19:00,유료,5.0,50.0,126.91133700000002,37.50262100000001,8,1.9399017702909918,2.009295786879326,8
466,영등포구,신길7동,974.0519326065413,14610.565708622395,194.89569871159568,0.0,0.0,594,741.0,1119069.0,0.17974754246291588,0.2,6836036794.939394,0,,,,,신길7동공영주차장,공영,노외,17.0,5,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,유료,0.0,0.0,126.92223500000001,37.508238,8,1.893063372295225,1.9576704933427127,8
467,영등포구,대림1동,963.5283696729434,14452.714568880081,192.79006442021804,1.0,0.0,1094,547.0,1119070.0,0.13164754333555725,0.2701236390477948,6702495228.0,0,,,,,대림어린이공원공영주차장,공영,노외,198.0,4,미시행,평일+토요일+공휴일,06:00,22:00,06:00,22:00,유료,5.0,100.0,126.90333899999999,37.491121,7,1.7525786950781046,1.8217035695351744,7
468,영등포구,대림2동,1257.7920837462837,18866.60584737364,251.66858027750249,0.0,0.0,1415,547.0,1119071.0,0.14188291976833428,0.32718213692563203,6751901625.0,0,,,,,대림2동공영주차장,공영,노외,154.0,5,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,유료,5.0,50.0,126.89993100000001,37.491568,8,1.9452743766384422,2.0117270398346507,8
469,영등포구,대림3동,1670.134700198216,25051.654806739345,334.1732185332012,1.0,0.0,2140,547.0,1119072.0,0.1398538519676952,0.4407455250046134,6746701696.541667,0,,,,,대림3동공영주차장,공영,노외,105.0,5,미시행,평일+토요일+공휴일,06:00,22:00,06:00,22:00,유료,5.0,50.0,126.900465,37.497991,9,2.2045245422636355,2.268708940736144,9
470,영등포구,대림3동,1670.134700198216,25051.654806739345,334.1732185332012,1.0,0.0,2140,547.0,1119072.0,0.1398538519676952,0.4407455250046134,6746701696.541667,0,,,,,대림운동장공영주차장,공영,노외,192.0,5,미시행,평일+토요일+공휴일,06:00,22:00,06:00,22:00,유료,5.0,50.0,126.89481,37.499611,9,2.2045245422636355,2.268708940736144,9
471,영등포구,영등포본동,1441.6149653121906,21623.908820614462,288.44925668979187,1.0,1.0,1482,737.0,1119073.0,0.1384304748715374,0.3843513563388079,6710607614.916667,0,,,,,영등포본동제1 공영주차장,공영,노외,194.0,4,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,유료,5.0,100.0,126.909151,37.514358,9,2.122047273201467,2.18783981658982,9
472,영등포구,영등포본동,1441.6149653121906,21623.908820614462,288.44925668979187,1.0,1.0,1482,737.0,1119073.0,0.1384304748715374,0.3843513563388079,6710607614.916667,0,,,,,영등포본동제2공영주차장,공영,노외,61.0,5,미시행,평일+토요일+공휴일,10:00,19:00,10:00,00:00,유료,5.0,50.0,126.914068,37.51328400000001,9,2.122047273201467,2.18783981658982,9
473,영등포구,영등포본동,1441.6149653121906,21623.908820614462,288.44925668979187,1.0,1.0,1482,737.0,1119073.0,0.1384304748715374,0.3843513563388079,6710607614.916667,0,,,,,영등포여고공영주차장,공영,노외,98.0,5,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,유료,5.0,50.0,126.915272,37.515377,9,2.122047273201467,2.18783981658982,9
474,영등포구,영등포동,1477.315869672943,22159.414568880078,295.592564420218,8.0,1.0,6320,674.0,1119074.0,0.15127133623519798,0.3604355047056653,6747784374.434783,0,,,,,영등포동제2 공영주차장,공영,노외,28.0,4,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,유료,5.0,100.0,126.908556,37.523736,9,2.4384349556994915,2.5008310777342495,9
