,avg_clus,interval_1,sing_clus,sum_2,경도,동,동주소,수소충전소,업체명,위도,자치구,주차경도,주차구획수,주차급지구분,주차기본시간,주차기본요금,주차부제시행구분,주차요금정보,주차운영요일,주차위도,주차장구분,주차장명,주차장유형,토요일운영시작시각,토요일운영종료시각,평일운영시작시각,평일운영종료시각
6,24.0,10,,3.5294517891242556,,개포4동,,0,,,강남구,127.0497487923,36.0,3,5.0,200.0,요일제,유료,평일,37.4771388546,공영,개포로24길33,노외,00:00,00:00,09:00,19:00
7,41.0,10,,3.345666806605359,,일원본동,,0,,,강남구,127.084056,67.0,4,5.0,100.0,미시행,혼합,평일+토요일+공휴일,37.484669,공영,일원역,노외,09:00,15:00,09:00,19:00
8,14.0,10,,3.345666806605359,,일원본동,,0,,,강남구,127.078902,11.0,4,5.0,100.0,미시행,유료,평일+토요일+공휴일,37.482745,공영,일원터널,노외,00:00,00:00,00:00,00:00
9,39.0,10,,2.7767029419914175,,수서동,,0,,,강남구,127.09993500000002,653.0,2,5.0,100.0,미시행,유료,평일+토요일+공휴일,37.487944,공영,수서역,노외,00:00,00:00,00:00,00:00
10,12.0,10,,3.915994636574663,,청담동,,0,,,강남구,127.0447140682,225.0,2,5.0,300.0,요일제,유료,평일+토요일+공휴일,37.520126074000004,공영,언북초교,노외,00:00,00:00,00:00,00:00
11,63.0,10,,3.07209575578134,,개포2동,,0,,,강남구,127.068292231,149.0,3,5.0,200.0,요일제,유료,평일+토요일+공휴일,37.4897076707,공영,개포동공원,노외,00:00,00:00,00:00,00:00
12,35.0,8,,1.9852128761416505,,암사1동,,0,,,강동구,127.13798500000001,114.0,3,5.0,150.0,미시행,유료,평일+토요일+공휴일,37.55275200000001,공영,암사1동공영주차장,노외,00:00,00:00,00:00,00:00
13,10.0,9,,2.1983219666612155,,화곡본동,,0,,,강서구,126.84855309999999,100.0,5,5.0,50.0,미시행,유료,평일,37.5441208,공영,화곡본-2,노외,00:00,00:00,09:00,19:00
14,56.0,8,,1.9234529628271797,,화곡6동,,0,,,강서구,126.84626609999998,300.0,4,5.0,100.0,미시행,유료,평일+토요일,37.5529786,공영,화곡6-1,노외,07:00,23:00,07:00,23:00
15,62.0,10,,2.5710270318392214,,우장산동,,0,,,강서구,126.83854790000001,25.0,5,5.0,50.0,미시행,유료,평일,37.5441769,공영,화곡5-2,노외,00:00,00:00,09:00,18:00
16,37.0,9,,2.066541098926864,,오류2동,,0,,,구로구,126.83888999999999,330.0,4,5.0,100.0,미시행,유료,평일+토요일+공휴일,37.4866,공영,천왕역,노외,00:00,00:00,00:00,00:00
17,46.0,9,,2.281144856701434,,구로2동,,0,,,구로구,126.880518,198.0,3,5.0,150.0,요일제,유료,평일+토요일+공휴일,37.487394,공영,하늘공원 주차장,노외,00:00,23:59,00:00,23:59
18,47.0,9,,2.269835411679325,,가산동,,0,,,금천구,126.8955605,130.0,5,30.0,390.0,요일제,유료,평일+토요일+공휴일,37.4766272,공영,가산동,노외,00:00,00:00,00:00,00:00
19,57.0,8,,1.9821360460396193,,독산1동,,0,,,금천구,126.8947892,66.0,5,30.0,390.0,요일제,유료,평일+토요일+공휴일,37.4648929,공영,독산1동,노외,00:00,00:00,00:00,00:00
20,26.0,9,,2.2022856564774167,,상도4동,,0,,,동작구,126.934969,56.0,3,5.0,150.0,요일제,유료,평일+토요일+공휴일,37.49962100000001,공영,도화,노외,00:00,23:59,00:00,23:59
21,55.0,8,,2.0081475467612675,,신대방1동,,0,,,동작구,126.913219,60.0,3,5.0,150.0,미시행,유료,평일+토요일+공휴일,37.48755900000001,공영,신대방역,노외,00:00,00:00,00:00,00:00
22,30.0,9,,2.38933513113716,,흑석동,,0,,,동작구,126.96228700000002,108.0,2,5.0,250.0,미시행,유료,평일+토요일+공휴일,37.506417,공영,흑석3동,노외,00:00,00:00,00:00,00:00
23,11.0,8,,2.004628788588776,,사당2동,,0,,,동작구,126.980263,87.0,4,5.0,100.0,미시행,유료,평일+토요일+공휴일,37.505942,공영,동작대교,노외,08:00,22:00,08:00,22:00
24,34.0,10,,1.2193674585734506,,충현동,,0,,,서대문구,126.96830600000001,27.0,2,5.0,250.0,미시행,혼합,평일+토요일+공휴일,37.562217,공영,미근동,노외,09:00,15:00,09:00,19:00
25,48.0,10,,2.9023762035984912,,서초1동,,0,,,서초구,127.01597120000001,29.0,1,10.0,800.0,미시행,유료,평일+토요일+공휴일,37.4939238,공영,교대역동측,노외,09:00,23:00,09:00,23:00
26,8.0,10,,3.8400329351924682,,반포1동,,0,,,서초구,127.02098799999999,58.0,3,10.0,300.0,미시행,유료,평일+토요일+공휴일,37.504727,공영,언구비 주차빌딩,노외,00:00,00:00,00:00,00:00
27,54.0,10,,3.300881808774624,,반포4동,,0,,,서초구,127.01044399999999,181.0,3,10.0,300.0,미시행,유료,평일+토요일+공휴일,37.4999956,공영,미도아파트 앞 주차빌딩,노외,00:00,00:00,00:00,00:00
28,3.0,10,,3.300881808774624,,반포4동,,0,,,서초구,127.0003038,51.0,3,10.0,300.0,미시행,유료,평일+토요일+공휴일,37.497432,공영,반포4동 주민센터 공영주차장,노외,00:00,00:00,00:00,00:00
29,45.0,10,,2.7734806286717033,,방배본동,,0,,,서초구,126.9853886,161.0,3,10.0,300.0,미시행,유료,평일+토요일+공휴일,37.4962412,공영,이수 주차빌딩,노외,00:00,00:00,00:00,00:00
30,49.0,10,,2.863051443710602,,방배2동,,0,,,서초구,126.98376299999998,185.0,2,5.0,250.0,미시행,유료,평일+토요일+공휴일,37.475302,공영,사당노외,노외,00:00,00:00,00:00,00:00
31,31.0,10,,2.960377171032478,,방배4동,,0,,,서초구,126.9922476,109.0,3,10.0,300.0,미시행,유료,평일+토요일+공휴일,37.4889095,공영,방배열린 문화센터,노외,00:00,00:00,00:00,00:00
32,16.0,10,,4.29870249181648,,양재1동,,0,,,서초구,127.041321,98.0,3,10.0,300.0,미시행,유료,평일+토요일+공휴일,37.4785659,공영,양재주차빌딩,노외,00:00,00:00,00:00,00:00
33,36.0,10,,2.574122867310566,,내곡동,,0,,,서초구,127.05962199999999,41.0,4,10.0,200.0,미시행,유료,공휴일,37.44665300000001,공영,청계산청룡,노외,05:00,19:00,05:00,19:00
34,18.0,9,,2.1667137035743713,,방이2동,,0,,,송파구,127.11391299999998,131.0,3,5.0,150.0,요일제,유료,평일+토요일+공휴일,37.51372,공영,방이동,노외,00:00,00:00,00:00,00:00
35,33.0,9,,2.294402909811981,,가락본동,,0,,,송파구,127.119759,84.0,2,5.0,250.0,요일제,유료,평일+토요일+공휴일,37.494681,공영,가락동2(체비지),노외,00:00,00:00,00:00,00:00
36,53.0,8,,1.8874736250732311,,문정1동,,0,,,송파구,127.124748,290.0,3,5.0,150.0,요일제,유료,평일+토요일+공휴일,37.485972,공영,문정근린공원,노외,00:00,00:00,00:00,00:00
37,17.0,10,,2.5272378487337037,,잠실본동,,0,,,송파구,127.07828,115.0,2,0.0,0.0,요일제,유료,평일+토요일+공휴일,37.510186,공영,아시아공원,노외,00:00,00:00,00:00,00:00
38,9.0,10,,2.673941639721189,,잠실3동,,0,,,송파구,127.10108799999999,20.0,1,0.0,0.0,요일제,유료,평일+토요일+공휴일,37.510556,공영,더다이닝호수,노외,00:00,00:00,00:00,00:00
39,23.0,10,,2.673941639721189,,잠실3동,,0,,,송파구,127.09772099999999,17.0,1,0.0,0.0,요일제,유료,평일+토요일+공휴일,37.508941,공영,서울놀이마당,노외,00:00,00:00,00:00,00:00
40,25.0,9,,2.1577341164463832,,목2동,,0,,,양천구,126.871574,30.0,5,5.0,50.0,미시행,혼합,평일+토요일+공휴일,37.544424,공영,달마을,노외,00:00,24:00,00:00,24:00
41,6.0,8,,1.9479218905685614,,목3동,,0,,,양천구,126.86511100000001,64.0,5,5.0,50.0,미시행,혼합,평일+토요일+공휴일,37.5419998,공영,목3동 해운,노외,00:00,24:00,00:00,24:00
42,15.0,10,,2.570891707009513,,신정3동,,0,,,양천구,126.849601,102.0,5,5.0,50.0,미시행,혼합,평일+토요일+공휴일,37.516131,공영,다락골,노외,00:00,24:00,00:00,24:00
