,자치구,동,edu_percent,동별_친환경자동차수,store_총_개소,백화점_개소,합계_사업체수,㎡당 매매평균가,행정구역코드,가구수별_승용차수,동별_수소차_대수,택시
30,중구,청구동,10804.371856406628,186.59927893654202,0.0,0.0,785,702.0,1102072.0,0.20745272804213044,0.4235785832672768,2556074225.6666665
31,중구,동화동,8165.874956684583,141.0305382908289,0.0,0.0,938,702.0,1102073.0,0.2381447267326553,0.2788787201844779,2409790415.2
32,용산구,후암동,15547.550777265493,176.2015055693827,0.0,0.0,859,846.0,1103051.0,0.2270097109251832,0.2335010634434819,2644974799.176471
33,용산구,용산2가동,10064.385246236076,114.06039822106165,0.0,0.0,557,953.5,1103052.0,0.2047964311479463,0.16754681745084815,2704357676.923077
34,용산구,남영동,7066.766249132972,80.08816761189767,0.0,0.0,1714,780.0,1103053.0,0.18417083103880413,0.13081911085749856,2648401965.9047623
35,용산구,원효로2동,12522.49932677792,141.9183810028969,1.0,0.0,1010,911.0,1103057.0,0.24894243301416225,0.17149971468589512,2688255811.15
36,용산구,효창동,7526.46766493941,85.29799665429027,0.0,0.0,462,1024.0,1103058.0,0.2341448913810087,0.10959174145354568,2713562333.090909
37,용산구,용문동,10604.721449263536,120.18406707740013,0.0,0.0,660,910.0,1103059.0,0.2473080294210572,0.14619494734657884,2713168492.55
38,용산구,이촌1동,24390.776204659516,276.42241217511935,0.0,0.0,813,1232.0,1103063.0,0.29991965278445865,0.27726305960471026,2654792687.2592587
39,용산구,이촌2동,7556.3939777224705,85.63715369864131,0.0,0.0,350,1232.0,1103064.0,0.2424435240280802,0.10626134772008093,2752216887.7
40,용산구,이태원1동,7743.433432616591,87.7568852258354,2.0,0.0,1652,991.0,1103065.0,0.2314297050553081,0.11407376666493747,2700406925.2
41,용산구,이태원2동,9083.46721612469,102.94358398955484,0.0,0.0,752,991.0,1103066.0,0.2126918982096097,0.14560356902007573,2688672409.2
42,용산구,서빙고동,11851.651148557674,134.31561059202738,1.0,0.0,385,1253.0,1103069.0,0.2710775389774401,0.14905846345385693,2693445756.4814816
43,용산구,보광동,13403.662980945777,151.90467175323352,1.0,0.0,844,997.0,1103070.0,0.1964137168368019,0.2326606837163459,2708141723.8
44,용산구,청파동,17392.17544575462,197.1067689420213,1.0,0.0,1881,1024.0,1103071.0,0.19100470067906694,0.3104424962390413,2668499232.6538463
45,용산구,원효로1동,13328.847198988127,151.05677914235588,0.0,0.0,1815,907.0,1103072.0,0.2502137895727093,0.1816153965866058,2672766972.958333
46,용산구,한강로동,15968.181729160715,180.96854624831693,9.0,1.0,4972,1011.0,1103073.0,0.2588576828125941,0.21031280800954505,2666018918.875
47,용산구,한남동,19689.019951854418,223.13707209596473,0.0,0.0,2080,1130.0,1103074.0,0.21408274472522412,0.3135550137469523,2679721118.9705877
48,성동구,왕십리2동,14696.15076644031,183.22160884526787,0.0,0.0,803,859.0,1104052.0,0.1933689491652852,0.21083263246425568,2890428932.714286
49,성동구,마장동,19562.20597668606,243.88827445862552,1.0,0.0,3282,684.0,1104054.0,0.1654459135944681,0.3280067283431455,2955199159.4814816
50,성동구,사근동,10857.724789311862,135.36672533597923,0.0,0.0,1106,471.0,1104055.0,0.11945656581904528,0.25214465937762826,2957298624.5
51,성동구,행당1동,13546.242562321662,168.8853357264514,3.0,0.0,1459,850.0,1104056.0,0.1806017594979712,0.2080740117746005,2983219263.333333
52,성동구,행당2동,20305.597336813466,253.15637215093074,2.0,0.0,592,850.0,1104057.0,0.19057564749630024,0.29557611438183345,3023473852.1666665
53,성동구,응봉동,13284.678935610169,165.62433839026997,0.0,0.0,379,742.0,1104058.0,0.19561667331003715,0.1883936080740118,2947824194.6923075
54,성동구,금호1가동,13111.382910482429,163.4638014554624,0.0,0.0,506,845.0,1104059.0,0.2201065546964179,0.16524810765349032,3364218947.722223
55,성동구,금호4가동,12542.097369992705,156.36633666494973,0.0,0.0,635,1005.0,1104062.0,0.1863124058293276,0.18674516400336416,3655787653.7272725
