,자치구,동,동별_승용차수,edu_percent,동별_친환경자동차수,합계_사업체수,㎡당 매매평균가,가구수별_승용차수,동별_수소차_대수,택시,동별_수소차_비율,승용차수_percentage,interval_1,interval_2,sum_2
22,강동구,강일동,1144.612409705501,0.516231951243385,0.20261519359629787,0.05416216902660487,0.13630229419703105,0.18436757417486552,0.05754085544450443,0.642494486653826,0.0012490508878325566,114.46124097055011,7,7,1.793714524336515
23,강동구,상일동,387.1687627338396,0.1712963706848815,0.06723188525054552,0.05549558702139818,0.19208277103013946,0.07414237690348581,0.04673882289363158,0.627907385470986,0.0010252503002668137,38.71687627338397,10,3,1.234895199255068
24,강동구,명일1동,781.5330663085757,0.3508876584974663,0.13771943151867588,0.09924439646961712,0.22807017543859648,0.16546356550949823,0.043033232837697194,0.6295605498238994,0.0009484764868302972,78.15330663085757,6,6,1.6539790100954506
25,강동구,명일2동,626.3944248934988,0.28023839296132114,0.10999039502729945,0.06552797002984316,0.22807017543859648,0.18630172530164874,0.029909268056262903,0.6223769191420667,0.0006765692309093014,62.63944248934988,5,5,1.5224148459570386
26,강동구,고덕1동,954.851745693647,0.4298160111667962,0.16869791593409222,0.03885961013397676,0.249212775528565,0.29903372132582207,0.02846028732926292,0.610434333601239,0.0006465487012963045,95.4851745693647,7,7,1.8245146550197542
27,강동구,고덕2동,267.9730644563808,0.1170153194808838,0.045927187484708656,0.09930789256460727,0.249212775528565,0.11593245884450167,0.01948135757834498,0.6330934420261608,0.00046051984566166846,26.797306445638085,3,4,1.2799704335077722
28,강동구,암사2동,511.37005463974816,0.22785694109954563,0.08943126848686368,0.04838402438250047,0.18893387314439947,0.1458303509463349,0.03115634163277928,0.6155181911405962,0.0007024065719696674,51.137005463974816,4,4,1.3471109908330197
29,강동구,암사3동,658.4788896091868,0.2948494779019131,0.11572508036934301,0.03251000063496095,0.18893387314439947,0.1845378095228664,0.03190458577868911,0.6106241930921623,0.0007179089766058872,65.84788896091868,5,5,1.4590850204443344
30,강동구,천호1동,1013.0765326912393,0.4563312519853135,0.17910484762198273,0.09352974792050289,0.1286549707602339,0.14526770240231537,0.0646729286130576,0.6357905262456719,0.0013968158717063642,101.30765326912393,7,6,1.703351975549078
31,강동구,천호3동,993.0541581774403,0.44721317514264725,0.1755261057400574,0.11156263889770779,0.1286549707602339,0.14689364819067913,0.06262416488020928,0.6365688309940782,0.0013543688113929059,99.30541581774403,7,6,1.709043534605613
