,자치구,동,edu_percent,동별_친환경자동차수,store_총_개소,백화점_개소,합계_사업체수,㎡당 매매평균가,행정구역코드,가구수별_승용차수,동별_수소차_대수,택시,clus,pca1,pca2,pca3,pca,sum1,sum_clus,cluster,총_점수_interval_10,수소충전소,pca_clus,업체명,동주소,경도,위도,주차장명,주차장구분,주차장유형,주차구획수,주차급지구분,주차부제시행구분,주차운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,주차요금정보,주차기본시간,주차기본요금,주차경도,주차위도
479,서초구,양재2동,28108.29642849808,422.9813653822892,3.0,0.0,5271,1036.0,1122067.0,0.3149327868187099,1.7710573505293452,3949319639.310345,4,823749959.0065058,-1436600511.7829025,-2126626094.7236223,-43943109608.75047,10.172440806595397,10,4,10,1,5,(주)에이치앤디이-서울만남의광장,서울특별시  서초구 양재대로12길 73-71,37.4599063,127.03987140000001,동산마을 공영주차장,공영,노외,121.0,2,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,유료,10.0,500.0,127.044326,37.470008
480,서초구,양재2동,28108.29642849808,422.9813653822892,3.0,0.0,5271,1036.0,1122067.0,0.3149327868187099,1.7710573505293452,3949319639.310345,4,823749959.0065058,-1436600511.7829025,-2126626094.7236223,-43943109608.75047,10.172440806595397,10,4,10,1,5,(주)에이치앤디이-서울만남의광장,서울특별시  서초구 양재대로12길 73-71,37.4599063,127.03987140000001,구룡공원 노외공영주차장,공영,노외,132.0,3,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,유료,10.0,300.0,127.0484805,37.4715926
481,서초구,양재2동,28108.29642849808,422.9813653822892,3.0,0.0,5271,1036.0,1122067.0,0.3149327868187099,1.7710573505293452,3949319639.310345,4,823749959.0065058,-1436600511.7829025,-2126626094.7236223,-43943109608.75047,10.172440806595397,10,4,10,1,5,(주)에이치앤디이-서울만남의광장,서울특별시  서초구 양재대로12길 73-71,37.4599063,127.03987140000001,언남문화체육 센터공영주차장,공영,노외,190.0,3,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,유료,10.0,300.0,127.04441159999999,37.4724059
482,서초구,양재2동,28108.29642849808,422.9813653822892,3.0,0.0,5271,1036.0,1122067.0,0.3149327868187099,1.7710573505293452,3949319639.310345,4,823749959.0065058,-1436600511.7829025,-2126626094.7236223,-43943109608.75047,10.172440806595397,10,4,10,1,5,(주)에이치앤디이-서울만남의광장,서울특별시  서초구 양재대로12길 73-71,37.4599063,127.03987140000001,양재2동주민센터 공영주차장,공영,노외,32.0,3,미시행,평일+토요일+공휴일,07:00,21:00,07:00,21:00,유료,10.0,300.0,127.04121090000001,37.4705526
483,서초구,내곡동,21857.849686075733,328.92292594308515,0.0,0.0,681,1018.0,1122068.0,0.3815243040415919,1.1368448593836749,4070513644.444445,3,849025346.6853194,-1480680618.8175762,-2191889667.949809,-45291678170.165855,5.647062821411946,10,4,9,0,5,,,,,청계산청룡,공영,노외,41.0,4,미시행,공휴일,05:00,19:00,05:00,19:00,유료,10.0,200.0,127.05962199999999,37.44665300000001
484,강남구,신사동,21087.97751039816,508.27536427784673,2.0,1.0,4365,1071.0,1121068.0,0.35074888621353056,0.9183894728515524,4937691237.2,4,1029899456.5752825,-1796121038.0685246,-2658844017.263381,-54940500057.876274,8.295140045185946,10,4,10,0,4,,,,,남부초공영주차장,공영,노외,135.0,3,요일제,평일+토요일+공휴일,00:00,00:00,00:00,00:00,유료,5.0,150.0,126.9221169,37.48504129999999
485,강남구,신사동,21087.97751039816,508.27536427784673,2.0,1.0,4365,1071.0,1121068.0,0.35074888621353056,0.9183894728515524,4937691237.2,4,1029899456.5752825,-1796121038.0685246,-2658844017.263381,-54940500057.876274,8.295140045185946,10,4,10,0,4,,,,,신사동제1공영주차장,공영,노외,41.0,5,요일제,평일+토요일+공휴일,09:00,19:00,09:00,16:00,유료,5.0,50.0,126.915444,37.4843973
486,강남구,신사동,21087.97751039816,508.27536427784673,2.0,1.0,4365,1071.0,1121068.0,0.35074888621353056,0.9183894728515524,4937691237.2,4,1029899456.5752825,-1796121038.0685246,-2658844017.263381,-54940500057.876274,8.295140045185946,10,4,10,0,4,,,,,압구정428,공영,노외,343.0,1,요일제,평일+토요일+공휴일,09:00,21:00,09:00,21:00,유료,5.0,400.0,127.0270562016,37.5268421056
487,강남구,신사동,21087.97751039816,508.27536427784673,2.0,1.0,4365,1071.0,1121068.0,0.35074888621353056,0.9183894728515524,4937691237.2,4,1029899456.5752825,-1796121038.0685246,-2658844017.263381,-54940500057.876274,8.295140045185946,10,4,10,0,4,,,,,신구초교,공영,노외,185.0,2,요일제,평일+토요일+공휴일,00:00,00:00,00:00,00:00,유료,5.0,300.0,127.02399152299999,37.5233612951
488,강남구,논현1동,28484.69246492393,686.555523487861,1.0,0.0,5578,1079.0,1123052.0,0.2655781997484327,1.638352620387044,4983400832.5161295,6,1039436263.3195922,-1812752702.032019,-2683457402.489603,-55449088081.9306,11.745865075603058,10,5,10,0,4,,,,,논현초교,공영,노외,192.0,2,요일제,평일+토요일+공휴일,00:00,00:00,00:00,00:00,유료,5.0,300.0,127.0262216669,37.508490656599996
489,강남구,논현2동,26404.662347269994,636.4213621991294,2.0,0.0,5542,1079.0,1123053.0,0.3037456623624881,1.3278799130802983,4894706916.512197,5,1020935974.7211567,-1780488665.0109506,-2635697388.6854773,-54462209190.64164,10.790735706873548,10,4,10,0,4,(주)상현상사,서울특별시  강남구 학동로 204,37.5136307,127.0291575,,,,,,,,,,,,,,,,
