,자치구,동,edu_percent,동별_친환경자동차수,총가구,면적_동,store_총_개소,백화점_개소,백화점_건물연면적,복합쇼핑몰_개소,복합쇼핑몰_건물연면적,전문점_개소,전문점_건물연면적,합계_사업체수,총_수급자_가구,㎡당 매매평균가,㎡당 전세평균가,수입차합계,수입화물차,수입특수차,주택건설현황,인구,면적,인구밀도,행정구역코드,구별_인구_비율,가구수_비율,동별_승용차수,가구수별_승용차수,동별_수소차_대수
33,용산구,용산2가동,10064.385246236076,114.06039822106165,5383,1.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,557,273.0,953.5,470.5,22513.0,131.0,6.0,2068,12107,1.96,6177,1103052.0,0.049398180260312535,0.05584893915028272,1102.419188869395,0.2047964311479463,0.16754681745084815
34,용산구,남영동,7066.766249132972,80.08816761189767,4203,1.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1714,1133.0,780.0,488.0,22513.0,131.0,6.0,2068,8501,1.19,7144,1103053.0,0.03468521767513975,0.043606370285832856,774.0700028560938,0.18417083103880413,0.13081911085749856
35,용산구,원효로2동,12522.49932677792,141.9183810028969,5510,0.71,1.0,0.0,0.0,0.0,0.0,1.0,16442.0,1010,259.0,911.0,447.0,22513.0,131.0,6.0,2068,15064,0.71,21217,1103057.0,0.0614631359908605,0.057166571561965036,1371.6728059080338,0.24894243301416222,0.17149971468589512
36,용산구,효창동,7526.46766493941,85.29799665429026,3521,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,462,78.0,1024.0,567.0,22513.0,131.0,6.0,2068,9054,0.44,20577,1103058.0,0.036941531682239175,0.03653058048451523,824.4241625525317,0.23414489138100872,0.10959174145354568
37,용산구,용문동,10604.721449263536,120.18406707740014,4697,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,660,214.0,910.0,486.5,22513.0,131.0,6.0,2068,12757,0.28,45561,1103059.0,0.05205026724876576,0.04873164911552628,1161.6058141907056,0.24730802942105717,0.14619494734657884
38,용산구,이촌1동,24390.776204659513,276.42241217511935,8908,2.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,813,35.0,1232.0,518.0,22513.0,131.0,6.0,2068,29341,2.86,10259,1103063.0,0.11971520665877841,0.09242101986823675,2671.6842670039578,0.29991965278445865,0.27726305960471026
39,용산구,이촌2동,7556.39397772247,85.63715369864131,3414,1.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350,71.0,1232.0,518.0,22513.0,131.0,6.0,2068,9090,1.22,7451,1103064.0,0.0370884165000612,0.03542044924002698,827.7021910318658,0.2424435240280802,0.10626134772008093
40,용산구,이태원1동,7743.433432616591,87.7568852258354,3665,0.57,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1652,116.0,991.0,395.0,22513.0,131.0,6.0,2068,9315,0.57,16342,1103065.0,0.038006446611448856,0.0380245888883125,848.1898690277042,0.2314297050553081,0.11407376666493749
41,용산구,이태원2동,9083.46721612469,102.94358398955485,4678,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,752,128.0,991.0,395.0,22513.0,131.0,6.0,2068,10927,0.86,12706,1103066.0,0.044583622342812844,0.048534523006691914,994.9726998245542,0.2126918982096097,0.14560356902007573
42,용산구,서빙고동,11851.651148557674,134.3156105920274,4789,2.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,385,161.0,1253.0,454.0,22513.0,131.0,6.0,2068,14257,2.8,5092,1103069.0,0.05817046799135012,0.04968615448461897,1298.1903341629607,0.2710775389774401,0.14905846345385693
