,자치구,동,면적_동,store_총_개소,백화점_개소,백화점_건물연면적,복합쇼핑몰_개소,복합쇼핑몰_건물연면적,전문점_개소,전문점_건물연면적,합계_사업체수,총_수급자_가구,㎡당 매매평균가,㎡당 전세평균가,수입차합계,수입화물차,수입특수차,주택건설현황,남자수,여자수,인구,면적,인구밀도,사용년수,세대수
73,종로구,이화동,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1289,150.0,729.0,544.0,9497.0,59.0,38.0,548,3847,4253,8621,0.78,11053,5-10,1626
74,종로구,이화동,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1289,150.0,729.0,544.0,9497.0,59.0,38.0,548,3847,4253,8621,0.78,11053,10-15,1950
75,종로구,이화동,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1289,150.0,729.0,544.0,9497.0,59.0,38.0,548,3847,4253,8621,0.78,11053,15-20,2088
76,종로구,이화동,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1289,150.0,729.0,544.0,9497.0,59.0,38.0,548,3847,4253,8621,0.78,11053,20-30,3357
77,종로구,이화동,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1289,150.0,729.0,544.0,9497.0,59.0,38.0,548,3847,4253,8621,0.78,11053,30-40,720
78,종로구,이화동,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1289,150.0,729.0,544.0,9497.0,59.0,38.0,548,3847,4253,8621,0.78,11053,40-50,421
79,종로구,이화동,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1289,150.0,729.0,544.0,9497.0,59.0,38.0,548,3847,4253,8621,0.78,11053,50-,221
80,종로구,창신1동,0.31,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2302,332.0,556.0,334.0,9497.0,59.0,38.0,548,2666,2548,6237,0.31,20119,0-5,2238
81,종로구,창신1동,0.31,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2302,332.0,556.0,334.0,9497.0,59.0,38.0,548,2666,2548,6237,0.31,20119,5-10,1626
82,종로구,창신1동,0.31,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2302,332.0,556.0,334.0,9497.0,59.0,38.0,548,2666,2548,6237,0.31,20119,10-15,1950
